name,type,kcal,protein,carbs,fat
Croissant,breakfast,248,6,26,13
Quaker Oats with Carb Killa Bar,breakfast,424,30,30,15
Quaker Oats with Milk,breakfast,198,10,26,6
Fats-me-up Smoothie,breakfast,394,10,42,23
Bounty Protein Smoothie,breakfast,482,53,34,15
Maltgeezer Smoothie,breakfast,521,58,50,10
Banana & Maple Smoothie,breakfast,553,53,69,9
Banana Peanut Butter Smoothie,breakfast,574,58,37,22
Cocoberry Smoothie,breakfast,684,57,52,29
Tuna Jacket Potato,main,364,37,43,4
Beef Ragu with Baby Potatoes,main,408,44,30,12
Slow Cooker Jamaican Chicken Curry,main,411,59,36,4
Peri Peri Popcorn Chicken,main,428,68,39,5
Sweet & Sour Chicken,main,433,47,38,10
Kung Pao Turkey,main,448,68,19,13
FMC Orange Chicken,main,455,53,49,4
Chicken Kedgeree,main,461,52,47,5
Paprika Chicken & Almonds,main,462,50,14,23
Chicken Fajita Fried Rice,main,466,52,51,5
Slow Cooker BBQ Turkey,main,468,79,15,10
Chicken Parmigiana,main,473,79,10,18
Chicken Carbonara,main,474,59,33,9
Korean Pork Fried Rice,main,479,55,50,7
Baked Chicken Sausage Risotto,main,485,33,70,7
Chipotle Chicken & Sweet Potato,main,486,48,48,12
Smoky Pork & Boston Beans,main,487,49,40,12
Smoky Pork & Beans with Jacket,main,685,54,82,12
"Soy, Five Spice & Orange Chicken",main,487,68,20,16
Haddock Kedgeree,main,490,38,46,15
Slow Cooker Beef Stew,main,492,56,44,10
Chicken Gyros & Lemon Potatoes,main,493,48,38,15
Chicken Tikka Masala,main,507,53,18,23
BBQ Chicken Wrap,main,511,76,39,10
Slow Cooker Beef Curry,main,512,60,14,25
Spicy Moroccan Chicken Bowl,main,513,64,29,14
Chicken & New Potato Hash,main,516,54,44,14
Sag Aloo with Chicken,main,520,51,50,12
FMC Moroccan Chicken & SP Mash,main,526,66,49,13
Sweet & Sour Pork with Rice,main,533,54,46,14
Italian Chicken Sausage Ragu,main,534,61,23,21
Chicken Orzo,main,541,55,58,8
FMC BBQ Chicken Teriyaki Noodles,main,543,54,57,10
Slow Cooker Orange Chicken with Rice,main,544,71,48,6
Tex-Mex Turkey Chilli with Rice,main,544,74,44,9
FMC Teriyaki Pulled Chicken with Rice,main,554,83,57,6
Pork Teriyaki & Basmati Rice,main,562,53,56,14
Crispy Ginger & Chilli Pork Fried Rice,main,563,58,33,20
Chicken Curry Fried Rice,main,593,55,75,8
Turkey & Chorizo Hash,main,603,74,36,18
Mongolian Beef,main,614,56,32,28
Healthy BBQ Pulled Chicken in Bun,main,630,89,68,6
"Chicken, Bacon & Pea Orzo",main,633,86,75,4
Chicken Fried Rice,main,637,68,58,17
Pesto Chicken Pasta,main,638,74,59,16
Cheesy Chorizo Chicken & Spinach,main,640,71,4,37
Cottage Pie,main,651,64,72,13
Turkey Meatballs & Pasta,main,665,60,80,10
Teriyaki Salmon,main,678,29,64,34
Steak Noodles,main,690,60,64,21
Chicken Shawarma with Rice & Pitta,main,720,87,68,17
Bolognese with Pasta,main,732,80,70,13
FMC Beef & Broccoli Rice,main,745,51,71,26
No snack,snack,0,0,0,0
Chocolate Protein Shake (Water),snack,120,24,3,1
Vanilla Protein Shake (Almond Milk),snack,135,25,3,3
Chocolate Protein Shake (Almond Milk),snack,145,25,4,4
Chocolate Protein Shake (Coconut Milk),snack,192,27,8,6
Vanilla Protein Shake (Milk),snack,208,31,12,4
Chocolate Protein Shake (Milk),snack,218,31,13,5
Salted Caramel Carb Killa,snack,226,20,20,10
"Fat Free Greek Yoghurt, Honey & Fruit",snack,244,21,41,1
BBQ Chicken Wrap,snack,401,45,39,10
