name,type,kcal,protein,carbs,fat
Apple & Cinnamon Oats,breakfast,577,37,64,19
Awesome Overnight Oats,breakfast,672,51,83,17
Banana & Maple Smoothie,breakfast,553,53,69,9
Banana Peanut Butter Smoothie,breakfast,574,58,37,22
Blueberry & Banana Smoothie,breakfast,736,62,101,11
Blueberry Protein Muffins,breakfast,470,28,58,14
Bounty Overnight Oats,breakfast,670,62,80,14
Bounty Protein Smoothie,breakfast,482,53,34,15
Breakfast Banana Muffins,breakfast,360,18,48,10
Chocolate Banana Oats,breakfast,672,59,81,12
Chocolate Hazelnut Smoothie,breakfast,750,60,18,47
Chocolate Malt Overnight Oats,breakfast,637,61,66,12
Chocolate Orange Oats,breakfast,674,62,79,13
Chocolate Protein Crepes,breakfast,459,48,44,10
Chocolate Strawberry Oats,breakfast,438,44,44,9
Cocoberry Smoothie,breakfast,684,57,52,29
Fats-me-up Smoothie,breakfast,394,10,42,23
Lean Green Smoothie,breakfast,602,53,45,25
Maltgeezer Smoothie,breakfast,521,58,50,10
Mini Protein Pancakes,breakfast,461,30,68,9
Quaker Oats with Milk,breakfast,198,10,26,6
Wild Berry Oats,breakfast,547,17,90,16
Bacalao & Bravas,main,928,55,90,31
Baked Chicken Sausage Risotto,main,485,33,70,7
BBQ Chicken Wrap,main,511,76,39,10
Beef Ragu with Baby Potatoes,main,408,44,30,12
Bolognese with Pasta,main,732,80,70,13
Cheesy Chorizo Chicken & Spinach,main,640,71,4,37
Chicken & Lentil Curry,main,709,91,49,11
Chicken & New Potato Hash,main,516,54,44,14
Chicken Carbonara,main,474,59,33,9
Chicken Curry Fried Rice,main,593,55,75,8
Chicken Fajita Fried Rice,main,466,52,51,5
Chicken Fried Rice,main,637,68,58,17
Chicken Gyros & Lemon Potatoes,main,493,48,38,15
Chicken Kedgeree,main,461,52,47,5
Chicken Orzo,main,541,55,58,8
Chicken Parmigiana,main,473,79,10,18
Chicken Shawarma with Rice & Pitta,main,720,87,68,17
Chicken Tikka Masala,main,507,53,18,23
"Chicken, Bacon & Pea Orzo",main,633,86,75,4
Chipotle Chicken & Sweet Potato,main,486,48,48,12
Cottage Pie,main,651,64,72,13
Crispy Ginger & Chilli Pork Fried Rice,main,563,58,33,20
Curry Coconut Fish Parcels,main,518,41,40,15
FMC BBQ Chicken Teriyaki Noodles,main,543,54,57,10
FMC Beef & Broccoli Rice,main,745,51,71,26
FMC Moroccan Chicken & SP Mash,main,526,66,49,13
FMC Orange Chicken,main,455,53,49,4
FMC Teriyaki Pulled Chicken with Rice,main,554,83,57,6
Haddock Kedgeree,main,490,38,46,15
Healthy BBQ Pulled Chicken in Bun,main,630,89,68,6
Homemade Breaded Fish,main,505,50,56,7
Italian Chicken Sausage Ragu,main,534,61,23,21
Korean Pork Fried Rice,main,479,55,50,7
Kung Pao Turkey,main,448,68,19,13
Lemon & Parsley Cod with Potatoes,main,379,27,38,9
Low Fat Sausage & Mash,main,689,51,85,12
Mongolian Beef,main,614,56,32,28
Paprika Chicken & Almonds,main,462,50,14,23
Peri Peri Popcorn Chicken,main,428,68,39,5
Peri Peri Tilapia & Crushed Potatoes,main,406,40,38,12
Pesto Chicken Pasta,main,638,74,59,16
Pork Teriyaki & Basmati Rice,main,562,53,56,14
Sag Aloo with Chicken,main,520,51,50,12
Sea Bass & Spiced Potato Cakes,main,757,53,79,25
Sesame Salmon & Sweet Potato Mash,main,628,28,47,35
Sesame Tuna & Minted Veg,main,413,58,2,17
Slow Cooker BBQ Turkey,main,468,79,15,10
Slow Cooker Beef Curry,main,512,60,14,25
Slow Cooker Beef Stew,main,492,56,44,10
Slow Cooker Jamaican Chicken Curry,main,411,59,36,4
Slow Cooker Orange Chicken with Rice,main,544,71,48,6
Smoky Pork & Boston Beans,main,487,49,40,12
"Soy, Five Spice & Orange Chicken",main,487,68,20,16
Spicy Moroccan Chicken Bowl,main,513,64,29,14
Steak Noodles,main,690,60,64,21
Sweet & Sour Chicken,main,433,47,38,10
Sweet & Sour Pork with Rice,main,533,54,46,14
Teriyaki Salmon,main,678,29,64,34
Tex-Mex Turkey Chilli with Rice,main,544,74,44,9
Tikka Salmon & Jewelled Rice,main,748,61,55,29
"Tomato, Chilli & Cumin Cod",main,404,42,10,23
Turkey & Chorizo Hash,main,603,74,36,18
Turkey Meatballs & Pasta,main,665,60,80,10
BBQ Chicken Wrap,snack,401,45,39,10
Chocolate Protein Shake (Almond Milk),snack,145,25,4,4
Chocolate Protein Shake (Coconut Milk),snack,192,27,8,6
Chocolate Protein Shake (Milk),snack,218,31,13,5
Chocolate Protein Shake (Water),snack,120,24,3,1
"Fat Free Greek Yoghurt, Honey & Fruit",snack,244,21,41,1
No snack,snack,0,0,0,0
Salted Caramel Carb Killa,snack,226,20,20,10
Vanilla Protein Shake (Almond Milk),snack,135,25,3,3
Vanilla Protein Shake (Milk),snack,208,31,12,4
Costco Peri-peri Chicken & Rice,main,403,66,33,5
