name,type,kcal,protein,carbs,fat
Breakfast Banana Muffins,breakfast,360,18,48,10
Quaker Oats with Milk,breakfast,198,10,26,6
Blueberry Protein Muffins,breakfast,470,28,58,14
Fats-me-up Smoothie,breakfast,394,10,42,23
Chocolate Strawberry Oats,breakfast,438,44,44,9
Chocolate Protein Crepes,breakfast,459,48,44,10
Mini Protein Pancakes,breakfast,461,30,68,9
Bounty Protein Smoothie,breakfast,482,53,34,15
Maltgeezer Smoothie,breakfast,521,58,50,10
Wild Berry Oats,breakfast,547,17,90,16
Banana & Maple Smoothie,breakfast,553,53,69,9
Banana Peanut Butter Smoothie,breakfast,574,58,37,22
Apple & Cinnamon Oats,breakfast,577,37,64,19
Lean Green Smoothie,breakfast,602,53,45,25
Chocolate Malt Overnight Oats,breakfast,637,61,66,12
Bounty Overnight Oats,breakfast,670,62,80,14
Awesome Overnight Oats,breakfast,672,51,83,17
Chocolate Banana Oats,breakfast,672,59,81,12
Chocolate Orange Oats,breakfast,674,62,79,13
Cocoberry Smoothie,breakfast,684,57,52,29
Blueberry & Banana Smoothie,breakfast,736,62,101,11
Chocolate Hazelnut Smoothie,breakfast,750,60,18,47
FMC Moroccan Chicken & SP Mash,main,526,66,49,13
Chipotle Chicken & Sweet Potato,main,486,48,48,12
Sweet & Sour Pork with Rice,main,533,54,46,14
Turkey Meatballs & Pasta,main,665,60,80,10
Lemon & Parsley Cod with Potatoes,main,379,27,38,9
Tex-Mex Turkey Chilli with Rice,main,544,74,44,9
Slow Cooker Orange Chicken with Rice,main,544,71,48,6
Healthy BBQ Pulled Chicken in Bun,main,630,89,68,6
FMC Teriyaki Pulled Chicken with Rice,main,554,83,57,6
Chicken Shawarma with Rice & Pitta,main,720,87,68,17
"Tomato, Chilli & Cumin Cod",main,404,42,10,23
Peri Peri Tilapia & Crushed Potatoes,main,406,40,38,12
Beef Ragu with Baby Potatoes,main,408,44,30,12
Slow Cooker Jamaican Chicken Curry,main,411,59,36,4
Sesame Tuna & Minted Veg,main,413,58,2,17
Peri Peri Popcorn Chicken,main,428,68,39,5
Sweet & Sour Chicken,main,433,47,38,10
Bolognese with Pasta,main,732,80,70,13
Kung Pao Turkey,main,448,68,19,13
FMC Orange Chicken,main,455,53,49,4
Chicken Kedgeree,main,461,52,47,5
Paprika Chicken & Almonds,main,462,50,14,23
Chicken Fajita Fried Rice,main,466,52,51,5
Slow Cooker BBQ Turkey,main,468,79,15,10
Chicken Parmigiana,main,473,79,10,18
Chicken Carbonara,main,474,59,33,9
Korean Pork Fried Rice,main,479,55,50,7
Baked Chicken Sausage Risotto,main,485,33,70,7
"Soy, Five Spice & Orange Chicken",main,487,68,20,16
Smoky Pork & Boston Beans,main,487,49,40,12
Haddock Kedgeree,main,490,38,46,15
Slow Cooker Beef Stew,main,492,56,44,10
Chicken Gyros & Lemon Potatoes,main,493,48,38,15
Homemade Breaded Fish,main,505,50,56,7
Chicken Tikka Masala,main,507,53,18,23
Slow Cooker Beef Curry,main,512,60,14,25
Spicy Moroccan Chicken Bowl,main,513,64,29,14
Chicken & New Potato Hash,main,516,54,44,14
Curry Coconut Fish Parcels,main,518,41,40,15
Sag Aloo with Chicken,main,520,51,50,12
Italian Chicken Sausage Ragu,main,534,61,23,21
Chicken Orzo,main,541,55,58,8
FMC BBQ Chicken Teriyaki Noodles,main,543,54,57,10
Pork Teriyaki & Basmati Rice,main,562,53,56,14
Crispy Ginger & Chilli Pork Fried Rice,main,563,58,33,20
Chicken Curry Fried Rice,main,593,55,75,8
Turkey & Chorizo Hash,main,603,74,36,18
Mongolian Beef,main,614,56,32,28
Sesame Salmon & Sweet Potato Mash,main,628,28,47,35
"Chicken, Bacon & Pea Orzo",main,633,86,75,4
Chicken Fried Rice,main,637,68,58,17
Pesto Chicken Pasta,main,638,74,59,16
Cheesy Chorizo Chicken & Spinach,main,640,71,4,37
Cottage Pie,main,651,64,72,13
Teriyaki Salmon,main,678,29,64,34
Low Fat Sausage & Mash,main,689,51,85,12
Steak Noodles,main,690,60,64,21
Chicken & Lentil Curry,main,709,91,49,11
FMC Beef & Broccoli Rice,main,745,51,71,26
Tikka Salmon & Jewelled Rice,main,748,61,55,29
Sea Bass & Spiced Potato Cakes,main,757,53,79,25
Bacalao & Bravas,main,928,55,90,31
Baby Potatoes,side,132,4,27,1
Pitta Bread,side,148,5,30,1
Wholegrain Basmati Rice,side,161,4,29,3
Lemon & Herb Rice,side,172,3,33,3
Sweet Potato,side,172,3,40,1
Jacket Potato,side,199,5,42,1
FMC Sweet Potato Mash,side,227,3,45,4
Wholegrain Pasta,side,286,9,56,2
No snack,snack,0,0,0,0
Salted Caramel Carb Killa,snack,226,20,20,10
Burger Roll,side,240,9,43,3
