name,type,kcal,protein,carbs,fat
Chicken Parmigiana,main,473,79,10,18
Banana & Maple Smoothie,breakfast,553,53,69,9
Chicken & Sweetcorn Soup,snack,236,45,11,4
Chicken Shawarma,main,400,79,5,14
Pesto Chicken Pasta,main,638,74,59,16
Bounty Protein Smoothie,breakfast,482,53,34,15
Banana Peanut Butter Smoothie,breakfast,574,58,37,22
Healthy BBQ Pulled Chicken,main,390,80,25,3
"Soy, Five Spice & Orange Chicken",main,487,68,20,16
FMC Teriyaki Pulled Chicken,main,393,79,28,3
Tex-Mex Turkey Chilli,main,383,70,15,6
Low Fat Sausage & Mash,main,689,51,85,12
Sweet & Sour Pork,main,372,50,17,11
Cottage Pie,main,651,64,72,13
Chocolate Malt Overnight Oats,breakfast,637,61,66,12
Bounty Overnight Oats,breakfast,670,62,80,14
FMC Moroccan Chicken,main,299,63,4,9
Turkey Meatballs,main,379,51,24,8
Awesome Overnight Oats,breakfast,672,51,83,17
"Chicken, Bacon & Pea Orzo",main,633,86,75,4
Peri Peri Popcorn Chicken,main,428,68,39,5
Bolognese,main,446,71,14,11
Homemade Breaded Fish,main,505,50,56,7
Slow Cooker Chicken Cacciatore,main,307,69,13,2
Italian Chicken Sausage Ragu,main,534,61,23,21
Turkey & Chorizo Hash,main,603,74,36,18
Spicy Moroccan Chicken Bowl,main,513,64,29,14
Blueberry Protein Muffins,breakfast,235,14,29,7
Breakfast Banana Muffins,breakfast,180,9,24,5
Curry Coconut Fish Parcels,main,518,41,40,15
Peri Peri Tilapia & Crushed Potatoes,main,406,40,38,12
Slow Cooker Orange Chicken,main,383,67,19,3
Bacalao & Bravas,main,928,55,90,31
Crispy Ginger & Chilli Pork Fried Rice,main,563,58,33,20
Mini Protein Pancakes,breakfast,461,30,68,9
Slow Cooker Jamaican Chicken Curry,main,411,59,36,4
Lemon & Parsley Cod,main,379,27,38,9
Sweet & Sour Chicken,main,433,47,38,10
Kung Pao Turkey,main,448,68,19,13
Steak Noodles,main,690,60,64,21
Beef Enchilada,main,337,27,30,12
Tikka Salmon & Jewelled Rice,main,748,61,55,29
Pork Teriyaki & Basmati Rice,main,562,53,56,14
"Tomato, Chilli & Cumin Cod",main,404,42,10,23
Chicken & Lentil Soup,snack,358,53,23,5
Chocolate Strawberry Oats,breakfast,438,44,44,9
Haddock Kedgeree,main,490,38,46,15
Smoky Pork & Boston Beans,main,487,49,40,12
Wild Berry Oats,breakfast,547,17,90,16
Chicken Fajita Fried Rice,main,466,52,51,5
Mongolian Beef,main,614,56,32,28
Cheesy Chorizo Chicken & Spinach,main,640,71,4,37
Fajita Chicken Snack,snack,300,49,4,10
Slow Cooker Beef Curry,main,512,60,14,25
Homemade Tomato Soup,snack,89,3,17,0
Apple & Cinnamon Oats,breakfast,577,37,64,19
Slow Cooker BBQ Turkey,main,468,79,15,10
Slow Cooker Beef Stew,main,492,56,44,10
Chocolate Hazelnut Smoothie,breakfast,750,60,18,47
Teriyaki Salmon,main,678,29,64,34
Lean Green Smoothie,breakfast,602,53,45,25
FMC Beef & Broccoli Rice,main,745,51,71,26
Sag Aloo with Chicken,main,520,51,50,12
Chicken Gyros & Lemon Potatoes,main,493,48,38,15
Fats-me-up Smoothie,breakfast,394,10,42,23
Chicken Orzo,main,541,55,58,8
Korean Pork Fried Rice,main,479,55,50,7
Chocolate Orange Oats,breakfast,674,62,79,13
Chicken Kedgeree,main,461,52,47,5
Sesame Salmon & Sweet Potato Mash,main,628,28,47,35
Chicken Fried Rice,main,637,68,58,17
Chocolate Protein Crepes,breakfast,459,48,44,10
Chicken & Lentil Curry,main,709,91,49,11
FMC BBQ Chicken Teriyaki Noodles,main,543,54,57,10
FMC Sweet Potato Mash,side,227,3,45,4
FMC Orange Chicken,main,455,53,49,4
Chicken Carbonara,main,474,59,33,9
Chicken & New Potato Hash,main,516,54,44,14
Chicken Curry Fried Rice,main,593,55,75,8
Chocolate Banana Oats,breakfast,672,59,81,12
Chipotle Chicken,main,314,45,8,11
Sea Bass & Spiced Potato Cakes,main,757,53,79,25
Chicken Tikka Masala,main,507,53,18,23
Beef Ragu,main,408,44,30,12
Maltgeezer Smoothie,breakfast,521,58,50,10
Baked Chicken Sausage Risotto,main,485,33,70,7
Cocoberry Smoothie,breakfast,684,57,52,29
Blueberry & Banana Smoothie,breakfast,736,62,101,11
Sesame Tuna & Minted Veg,main,413,58,2,17
Paprika Chicken & Almonds,main,462,50,14,23
Quaker Oats with Milk,breakfast,198,10,26,6
Lemon & Herb Rice,side,172,3,33,3
Pitta Bread,side,148,5,30,1
Wholegrain Pasta,side,286,9,56,2
Sweet Potato,side,172,3,40,1
Baby Potatoes,side,132,4,27,1
Jacket Potato,side,199,5,42,1
Wholegrain Basmati Rice,side,161,4,29,3
No snack,snack,0,0,0,0
Salted Caramel Carb Killa,snack,226,20,20,10
